City_ID,City,Country,Max Temp,Current Description,Latitudes,Longitudes,Hotel Name
26,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
27,Bethel,US,43.65,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
28,Locri,IT,58.15,scattered clouds,38.2414,16.2623,Grand Hotel President
30,Vestmannaeyjar,IS,44.76,overcast clouds,63.4427,-20.2734,Glamping & Camping
31,Sao Lourenco Do Sul,BR,68.9,broken clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
32,Karratha,AU,87.13,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
35,Bom Jesus,BR,74.12,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
37,Kodiak,US,31.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
39,North Bend,US,53.51,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
42,Mataura,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
44,Punta Arenas,CL,53.71,few clouds,-53.15,-70.9167,Hotel Hain
45,Olafsvik,IS,41.23,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
46,Tura,IN,66.34,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
47,Nemuro,JP,38.12,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
48,Katsuura,JP,50.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
49,Husavik,IS,40.91,moderate rain,66.0449,-17.3389,Bjarnabúð
52,Garoua Boulai,CM,70.93,overcast clouds,5.8833,14.55,Motel l'as Vegas
53,Marsh Harbour,BS,76.66,clear sky,26.5412,-77.0636,Abaco Beach Resort
54,Abu Kamal,SY,52.79,clear sky,34.4506,40.9171,محطة التلفاز
58,Eirunepe,BR,72.12,overcast clouds,-6.6603,-69.8736,Atrás de você
59,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Malyn,UA,28.31,light snow,50.7723,29.2383,Ukraine
