City_ID,City,Country,Latitudes,Longitudes,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
161,Wilmington,US,34.2257,-77.9447,62.51,88,40,0.0,scattered clouds,0.0,0.0
162,Westport,US,41.1415,-73.3579,45.99,63,1,8.01,clear sky,0.0,0.0
163,Sakakah,SA,29.9697,40.2064,58.57,39,88,8.99,overcast clouds,0.0,0.0
164,Chardara,KZ,41.2547,67.9692,42.78,68,4,5.21,clear sky,0.0,0.0
165,Mundo Nuevo,MX,18.7,-95.5,78.35,80,3,9.89,clear sky,0.0,0.0
166,Luanda,AO,-8.8368,13.2343,77.59,85,88,9.13,light rain,0.4,0.0
167,Hobart,AU,-42.8794,147.3294,65.01,55,75,1.01,broken clouds,0.0,0.0
168,Ramos Arizpe,MX,25.55,-100.9667,79.09,36,75,9.22,broken clouds,0.0,0.0
169,New Norfolk,AU,-42.7826,147.0587,64.65,50,45,1.99,scattered clouds,0.0,0.0
170,Owando,CG,-0.4819,15.8999,72.64,94,100,1.7,overcast clouds,0.0,0.0
171,Mackay,AU,-21.15,149.2,86.68,64,88,12.88,overcast clouds,0.0,0.0
172,Nehe,CN,48.4833,124.8333,15.03,84,5,8.97,clear sky,0.0,0.0
173,Buk,PL,52.3553,16.5196,32.76,98,100,6.6,overcast clouds,0.0,0.0
174,Fortuna,US,40.5982,-124.1573,54.32,91,90,1.01,overcast clouds,0.0,0.0
175,Anadyr,RU,64.75,177.4833,1.9,84,90,35.01,heavy snow,0.0,0.24
176,Jacqueville,CI,5.2052,-4.4146,84.11,81,3,10.36,clear sky,0.0,0.0
177,Puerto Ayora,EC,-0.7393,-90.3518,69.64,85,53,9.62,broken clouds,0.0,0.0
178,Puerto Escondido,MX,15.85,-97.0667,85.03,65,1,5.75,clear sky,0.0,0.0
179,Muroto,JP,33.2833,134.15,44.64,64,96,7.83,overcast clouds,0.0,0.0
180,Santa Marta,CO,11.2408,-74.199,86.05,62,75,6.91,broken clouds,0.0,0.0
181,Wanaka,NZ,-44.7,169.15,51.12,66,98,5.01,overcast clouds,0.0,0.0
182,Lardos,GR,36.0942,28.0157,59.95,79,41,1.57,scattered clouds,0.0,0.0
183,Nhulunbuy,AU,-12.2333,136.7667,88.41,58,69,4.61,broken clouds,0.0,0.0
184,Leningradskiy,RU,69.3833,178.4167,-3.69,98,100,15.05,light snow,0.0,0.34
185,Marana,US,32.4367,-111.2254,77.61,24,1,8.05,clear sky,0.0,0.0
186,Praya,CV,14.9215,-23.5087,72.14,83,0,18.41,clear sky,0.0,0.0
187,Whyalla,AU,-33.0333,137.5833,66.09,82,90,9.22,overcast clouds,0.0,0.0
188,Teya,RU,60.3778,92.6267,12.54,96,100,2.64,light snow,0.0,0.26
189,Kokopo,PG,-4.352,152.2633,78.62,82,97,2.28,overcast clouds,0.0,0.0
190,Haines Junction,CA,60.7522,-137.5108,0.66,99,100,2.13,overcast clouds,0.0,0.0
191,Lata,PT,40.1629,-8.3327,52.92,95,47,2.8,scattered clouds,0.0,0.0
192,Saint Anthony,US,45.0205,-93.218,37.92,67,90,5.01,overcast clouds,0.0,0.0
193,Prainha,BR,-1.8,-53.48,79.07,75,96,3.33,light rain,0.22,0.0
194,Maceio,BR,-9.6658,-35.7353,76.44,94,75,1.14,broken clouds,0.0,0.0
195,Pochutla,MX,15.7432,-96.4661,85.82,59,0,5.95,clear sky,0.0,0.0
196,Saint George,US,37.1041,-113.5841,70.36,24,1,1.01,clear sky,0.0,0.0
197,Port Alfred,ZA,-33.5906,26.891,68.59,92,100,5.99,overcast clouds,0.0,0.0
198,Souillac,MU,-20.5167,57.5167,78.37,74,22,10.25,few clouds,0.0,0.0
199,Tres Arroyos,AR,-38.3739,-60.2798,63.9,61,52,5.95,broken clouds,0.0,0.0
200,Komsomolskiy,UZ,40.4272,71.7189,40.42,70,100,1.3,overcast clouds,0.0,0.0
201,Paso De Carrasco,UY,-34.8603,-56.0522,66.34,77,75,9.22,broken clouds,0.0,0.0
202,Qiongshan,CN,20.0058,110.3542,60.78,67,0,6.71,clear sky,0.0,0.0
203,Zile,TR,40.3031,35.8864,34.92,65,5,3.0,clear sky,0.0,0.0
204,Huazhou,CN,21.6333,110.5833,52.77,44,46,4.92,scattered clouds,0.0,0.0
